,Trigger document,GL (consumption),GL (actuals),Desc,Cost
0,4502001708 00001,2201.0,9219.0,Harness # AT396405,592.91
1,4501959034 00002,2201.0,9129.0,Scraper,37.95
2,4501952934 00005,2201.0,9129.0,Tape Measure,44.95
6,4502050993 00002,7210.0,2131.0,Wiper Blade as per quote,406.42
7,4501939634 00001,7210.0,9219.0,Blind,19.99
11,4501934899 00006,7341.0,9219.0,Oil Plus 50 15W40 4L,18.75
12,4501934899 00003,7341.0,9219.0,Oil Plus 50 15W40 4L,18.75
13,4502061264 00002,9129.0,9219.0,7/8 Socket,31.25
14,4501998885 00007,9129.0,7210.0,Tool Box Slide,35.95
20,4502061100 00002,9219.0,2131.0,1304712     heavy duty plow shoe,43.96
23,4502038478 00004,9219.0,7341.0,trans fluid,95.88
24,4502034251 00002,9219.0,9220.0,"brake rotor, front",134.78
25,4502034251 00001,9219.0,9220.0,"brake pads, front",39.19
29,4502021331 00013,9219.0,2201.0,FF5369W filter,11.53
32,4502008471 00004,9219.0,9220.0,front tires # 489-13,267.74
35,4502003467 00001,9219.0,9335.0,Battery Motomaster #0102799-4,211.07
39,4501990922 00011,9219.0,2201.0,Water Seperator FF5369,11.53
63,4502010618 00001,9335.0,9220.0,rubber tracks #T317180,"3,518.00"
