,Trigger document,GL (consumption),GL (actuals),Desc,Cost
271,4501797195 00003,9219.0,7210.0,AF25132M Inner Air,36.29
277,4501784192 00001,9219.0,9129.0,waterproof light kit,149.95
280,4501781056 00002,9219.0,4603.0,Left rear hub seal,58.48
298,4501765698 00001,9219.0,2131.0,rear diff input seal,31.35
301,4501763484 00009,9219.0,2131.0,Napa PN 1202 Fuel Filter,31.39
310,4501739178 00005,9219.0,5401.0,RP9-403,42.88
311,4501739178 00003,9219.0,2131.0,RP9-400,39.96
325,4501775424 00001,9220.0,9129.0,Tire tube 6.50 X10,29.95
327,4501851777 00001,9335.0,9219.0,Battery,138.77
328,4501846411 00001,9335.0,2201.0,1.5Volt battery,8.99
333,4502052649 00004,2201.0,7210.0,Freight,13.98
334,4502038873 00002,2201.0,9129.0,Freight,78.75
335,4502067805 00002,2201.0,7341.0,Freight,21.88
336,4502067805 00002,2201.0,7341.0,Freight,21.88
338,4502001708 00001,2201.0,9219.0,Harness # AT396405,592.91
339,4501959034 00002,2201.0,7210.0,Scraper,37.95
340,4501952934 00005,2201.0,9219.0,Tape Measure,44.95
344,4502074435 00002,7209.0,2131.0,Rubber Gloves as per quote,104.96
347,4502026013 00001,7209.0,9129.0,Coveralls,129.99
348,4502008927 00001,7209.0,9129.0,Bib Overalls,129.99
353,4502050993 00002,7210.0,2131.0,Wiper Blade as per quote,406.42
354,4502026050 00002,7210.0,9129.0,Snow Brush as per quote,149.95
355,4501981986 00004,7210.0,9129.0,Ear Eye Prot Sign,16.95
356,4501966825 00002,7210.0,7215.0,Cam & Grove Boss-lock,110.82
359,4501913143 00001,7210.0,9219.0,Funnel,10.99
363,4502077366 00001,7341.0,9219.0,oil change kit,58.99
364,4501934899 00006,7341.0,9219.0,Oil Plus 50 15W40 4L,18.75
365,4501934899 00003,7341.0,9219.0,Oil Plus 50 15W40 4L,18.75
366,4501927946 00003,7341.0,6233.0,Seal Compound,73.71
367,4502083571 00003,9129.0,9219.0,Bench Grinder Stand,139.99
368,4502083571 00003,9129.0,9219.0,Bench Grinder Stand,139.99
369,4502083361 00006,9129.0,9219.0,mini glue gun,14.98
372,4502083124 00003,9129.0,7208.0,N95 respirator,19.96
373,4502083124 00003,9129.0,7208.0,N95 respirator,19.96
374,4502082434 00020,9129.0,5801.0,ball hitch,69.99
375,4502082434 00018,9129.0,9219.0,2ft tradesman square,50.97
377,4502082434 00008,9129.0,9219.0,rafters square,16.47
378,4502082434 00008,9129.0,9219.0,rafters square,16.47
379,4502082434 00007,9129.0,9219.0,aerosol can trigger,20.97
380,4502080173 00001,9129.0,9219.0,SOCKET SET IMPACT,999.95
381,4502080173 00001,9129.0,9219.0,SOCKET SET IMPACT,999.95
384,4502079302 00001,9129.0,9219.0,"24"" level",47.98
385,4502077266 00002,9129.0,5801.0,CROW FOOT SET,"1,950.00"
386,4502075997 00001,9129.0,9219.0,21-AAF2273,999.95
387,4502075997 00001,9129.0,9219.0,21-AAF2273,999.95
389,4502062414 00001,9129.0,73410.0,Autel Scan Tool,"3,695.00"
391,4502025811 00005,9129.0,5801.0,Breaker Bar,158.95
394,4501952934 00004,9129.0,9219.0,Tape Measure,44.95
395,4501930190 00004,9129.0,9219.0,Tape Measure,44.95
396,4501930190 00003,9129.0,9219.0,Tape Measeure,44.95
397,4501923593 00002,9129.0,5801.0,Tap Set,194.95
398,4501921690 00004,9129.0,9219.0,Circut Tester,115.95
399,4501921690 00003,9129.0,9219.0,Circut Tester,115.95
401,4502083363 00001,9219.0,2201.0,2477133 THERMOSTAT,85.53
402,4502083363 00001,9219.0,2201.0,2477133 THERMOSTAT,85.53
405,4502083360 00002,9219.0,7341.0,3565233C2 Visor Clip (Silvers),22.11
406,4502083360 00002,9219.0,7341.0,3565233C2 Visor Clip (Silvers),22.11
407,4502083088 00001,9219.0,9129.0,light kit,79.95
408,4502083088 00001,9219.0,9129.0,light kit,79.95
428,4502069586 00003,9219.0,7341.0,3565233C2 Visor Clip (Silvers),22.11
429,4502069586 00003,9219.0,7341.0,3565233C2 Visor Clip (Silvers),22.11
434,4502061765 00006,9219.0,2131.0,Brake actuating disk PN#L77358,182.92
435,4502061100 00002,9219.0,2131.0,1304712     heavy duty plow shoe,43.96
436,4502059165 00003,9219.0,5801.0,SU20768,69.69
437,4502058895 00001,9219.0,9129.0,RTI Light kit,79.95
438,4502058895 00001,9219.0,9129.0,RTI Light kit,79.95
439,4502058557 00001,9219.0,5401.0,Slack adjuster #R803052,94.12
440,4502046437 00004,9219.0,7215.0,rear rotors,124.46
443,4502038478 00004,9219.0,7341.0,trans fluid,95.88
444,4502038478 00004,9219.0,7341.0,trans fluid,95.88
445,4502034251 00002,9219.0,9220.0,"brake rotor, front",134.78
453,4502027362 00005,9219.0,9129.0,Plastic trigger # 731-04913AACE,6.25
457,4502021331 00013,9219.0,2201.0,FF5369W filter,11.53
458,4502020386 00001,9219.0,7301.0,fuel nozzle,199.99
459,4502018306 00001,9219.0,5401.0,temp sensor - sellick#140127,91.81
460,4502017361 00011,9219.0,2131.0,Hydraulic line AT358869,77.17
461,4502008471 00004,9219.0,9220.0,front tires # 489-13,267.74
462,4502008419 00002,9219.0,7209.0,lower tie rod end,53.58
463,4502008419 00002,9219.0,7209.0,lower tie rod end,53.58
466,4502003895 00001,9219.0,2131.0,ABS sensor,53.14
467,4502003467 00001,9219.0,9335.0,Battery Motomaster #0102799-4,211.07
469,4502003401 00002,9219.0,7210.0,Chain # 23RSC62E,39.98
471,4502000787 00001,9219.0,2131.0,BAL-CA4700,53.25
473,4501998694 00005,9219.0,2201.0,Air Filter AF4878,34.29
476,4501995450 00002,9219.0,9129.0,Locking Strip PN 6200020,31.25
477,4501990922 00011,9219.0,2201.0,Water Seperator FF5369,11.53
478,4501989327 00001,9219.0,2131.0,Rotary brush # 30556,356.74
479,4501988845 00014,9219.0,9507.0,BAL-BF7587,12.25
480,4501988845 00008,9219.0,9507.0,BAL-BF7587,12.25
482,4501986695 00001,9219.0,5801.0,Angle drv adapt # REP925,274.02
491,4501967701 00002,9219.0,7301.0,Belt 1 TKC 78-1724,149.99
492,4501953762 00002,9219.0,6233.0,2871453 Gasket,64.52
494,4501950660 00001,9219.0,9335.0,Carbides P/N: 605352643,159.99
501,4501945802 00001,9219.0,2201.0,LF14000NN Oil filter,48.46
511,4501924045 00002,9219.0,7210.0,Air filter,19.99
512,4501921952 00007,9219.0,2131.0,FS19868,30.61
513,4501921952 00004,9219.0,2201.0,P185067,34.29
515,4501921654 00001,9219.0,2201.0,LF9080  Truck Engine Oil Filter,48.46
519,4501911756 00005,9219.0,2201.0,AF4878,34.29
520,4502010618 00001,9335.0,9220.0,rubber tracks #T317180,"3,518.00"
